,Unnamed: 0,date,prix,chambres,salles_de_bain,m2_habitable,m2_Lot,étages,vue_sur_l-eau,vue,condition,état,m2_above,m2_cave,yr_renovated,zipcode,lat,long,m2_habitable15,m2_lot15
50,50,20140916T000000,228000.0,3,1.0,396.67,3066.33,1.0,0,0,3,7,396.67,0.0,1955,98148,47.43,-122.32,396.67,3121.33
51,51,20150217T000000,345000.0,5,2.5,1050.0,3044.67,1.0,0,0,4,8,546.67,503.33,1966,98056,47.49,-122.19,663.33,3044.33
52,52,20141231T000000,600000.0,3,1.75,470.0,1360.0,1.0,0,0,4,7,333.33,136.67,1950,98117,47.68,-122.38,470.0,1360.0
53,53,20150205T000000,585000.0,2,1.75,660.0,2850.0,1.0,0,0,3,7,330.0,330.0,1981,98117,47.7,-122.37,493.33,2246.0
54,54,20150303T000000,920000.0,5,2.25,910.0,2000.0,1.5,0,0,3,8,710.0,200.0,1927,98105,47.66,-122.28,910.0,2000.0
55,55,20140512T000000,885000.0,4,2.5,943.33,1666.67,2.0,0,0,3,9,943.33,0.0,1995,98105,47.66,-122.29,650.0,1666.67
56,56,20140819T000000,292500.0,4,2.5,750.0,1498.33,2.0,0,0,3,7,750.0,0.0,2008,98042,47.37,-122.11,750.0,1500.0
57,57,20150407T000000,301000.0,3,2.5,806.67,1583.33,2.0,0,0,3,8,806.67,0.0,2003,98042,47.37,-122.12,896.67,1583.33
58,58,20140827T000000,951000.0,5,3.25,1083.33,4780.67,2.0,0,4,4,8,1083.33,0.0,1968,98008,47.59,-122.12,986.67,3681.33
59,59,20150223T000000,430000.0,4,3.0,616.67,3325.33,2.0,0,0,3,8,616.67,0.0,1991,98059,47.51,-122.15,756.67,2847.33
60,60,20141210T000000,650000.0,3,2.25,716.67,7078.33,1.0,0,3,4,8,530.0,186.67,1959,98166,47.43,-122.34,856.67,6300.0
61,61,20140828T000000,289000.0,3,1.75,420.0,2800.0,1.0,0,0,3,7,420.0,0.0,1954,98148,47.44,-122.34,430.0,2916.67
62,62,20141021T000000,505000.0,3,1.75,839.67,2896.67,2.0,0,0,5,8,839.67,0.0,1973,98166,47.44,-122.34,833.33,3166.67
63,63,20141207T000000,549000.0,3,1.75,513.33,348.0,3.0,0,0,3,8,513.33,0.0,2014,98115,47.68,-122.32,526.67,1030.0
64,64,20140603T000000,425000.0,3,2.25,553.33,2000.0,1.0,0,0,3,7,370.0,183.33,1979,98122,47.61,-122.3,480.0,1360.0
65,65,20141120T000000,317625.0,3,2.75,923.33,1269.67,1.5,0,0,5,7,590.0,333.33,1925,98144,47.57,-122.3,480.0,1333.33
66,66,20140909T000000,975000.0,4,2.5,906.67,3683.0,2.0,0,0,3,10,906.67,0.0,1989,98004,47.58,-122.19,916.67,3683.0
67,67,20141009T000000,287000.0,4,2.5,746.67,1549.33,2.0,0,0,3,7,746.67,0.0,2005,98001,47.34,-122.26,740.33,1519.0
68,68,20140825T000000,204000.0,3,1.0,333.33,4023.33,1.0,0,0,4,7,333.33,0.0,1968,98042,47.36,-122.11,336.67,4211.67
69,69,20140612T000000,1325000.0,5,2.25,1066.67,6719.33,1.0,0,0,3,8,533.33,533.33,1965,98004,47.63,-122.22,1130.0,6719.33
70,70,20140912T000000,1040000.0,5,3.25,1590.0,16698.0,1.0,0,0,4,11,1023.33,566.67,1973,98005,47.65,-122.16,1176.67,12972.33
71,71,20150105T000000,325000.0,3,2.0,420.0,1870.67,1.0,0,0,4,7,420.0,0.0,1972,98034,47.74,-122.18,546.67,1581.67
72,72,20140610T000000,571000.0,4,2.0,916.67,2602.33,1.5,0,0,5,7,750.0,166.67,1916,98125,47.72,-122.29,503.33,2602.33
73,73,20140710T000000,360000.0,4,2.5,793.33,1666.67,2.0,0,0,3,8,793.33,0.0,2005,98038,47.36,-122.04,806.67,1666.67
74,74,20150316T000000,349000.0,3,1.75,596.67,16843.0,1.0,0,0,5,7,363.33,233.33,1965,98042,47.35,-122.07,646.67,16843.0
75,75,20141105T000000,832500.0,4,4.0,1143.33,11700.67,2.0,0,0,4,10,796.67,346.67,1986,98075,47.58,-121.99,1080.0,11673.33
76,76,20141013T000000,380000.0,4,1.75,586.67,2433.33,1.0,0,0,3,7,293.33,293.33,1956,98008,47.6,-122.12,560.0,2500.0
77,77,20150420T000000,480000.0,3,1.0,346.67,1686.67,1.0,0,0,3,7,346.67,0.0,1941,98116,47.56,-122.39,296.67,1686.67
78,78,20140609T000000,410000.0,3,1.0,470.0,1686.67,1.0,0,0,4,7,303.33,166.67,1956,98133,47.71,-122.34,376.67,1897.67
79,79,20150323T000000,720000.0,4,2.5,1150.0,13227.67,2.0,0,0,3,10,1150.0,0.0,2002,98010,47.34,-122.02,1116.67,13250.0
80,80,20141202T000000,390000.0,3,2.5,783.33,1700.0,2.0,0,0,3,8,783.33,0.0,2003,98038,47.35,-122.01,783.33,1787.67
81,81,20141222T000000,360000.0,4,2.5,633.33,1963.0,2.0,0,0,3,7,633.33,0.0,1992,98038,47.35,-122.03,623.33,2135.0
82,82,20141028T000000,355000.0,2,1.0,673.33,2240.0,1.0,0,0,3,7,336.67,336.67,1948,98118,47.55,-122.29,573.33,2240.0
83,83,20150128T000000,356000.0,3,1.5,560.0,2904.0,1.0,0,0,3,8,560.0,0.0,1964,98059,47.48,-122.15,616.67,2932.33
84,84,20140602T000000,315000.0,3,1.0,320.0,2211.33,1.0,0,0,3,6,320.0,0.0,1952,98125,47.73,-122.31,523.33,2401.0
85,85,20141114T000000,940000.0,3,1.5,713.33,1200.0,2.0,0,0,3,9,633.33,80.0,1925,98119,47.63,-122.36,673.33,1600.0
86,86,20141103T000000,305000.0,5,2.25,886.67,2800.0,1.5,0,0,5,7,886.67,0.0,1961,98092,47.29,-122.19,530.0,2721.67
87,87,20140618T000000,461000.0,3,3.25,923.33,2092.67,2.0,0,0,3,9,660.0,263.33,2006,98056,47.52,-122.2,633.33,2449.67
88,88,20140519T000000,215000.0,2,2.25,536.67,680.0,2.0,0,0,4,7,536.67,0.0,1979,98056,47.52,-122.19,650.0,675.0
89,89,20140904T000000,335000.0,2,1.75,343.33,355.33,2.0,0,0,3,7,255.0,88.33,2006,98136,47.54,-122.39,343.33,368.67
90,90,20140522T000000,243500.0,4,2.5,660.0,2467.67,2.0,0,0,3,7,660.0,0.0,1988,98023,47.29,-122.37,660.0,2503.33
91,91,20150311T000000,1099880.0,5,2.75,1173.33,2117.67,2.0,0,0,4,10,1173.33,0.0,2001,98199,47.65,-122.39,840.0,2083.33
92,92,20150226T000000,153000.0,3,1.0,400.0,3500.0,1.0,0,0,3,7,400.0,0.0,1962,98023,47.32,-122.35,450.0,3500.0
93,93,20140725T000000,430000.0,3,1.5,526.67,1666.67,1.0,0,0,3,8,430.0,96.67,1939,98117,47.69,-122.39,523.33,1500.0
94,94,20141223T000000,700000.0,3,1.5,526.67,1666.67,1.0,0,0,3,8,430.0,96.67,1939,98117,47.69,-122.39,523.33,1500.0
95,95,20140908T000000,905000.0,4,2.5,1100.0,3416.67,1.0,0,0,3,7,796.67,303.33,1991,98040,47.59,-122.25,650.0,2015.0
96,96,20150330T000000,247500.0,3,1.75,653.33,5227.0,1.0,0,0,3,7,653.33,0.0,1967,98032,47.36,-122.28,583.33,5205.33
97,97,20140912T000000,199000.0,4,1.5,386.67,2133.33,1.0,0,0,4,7,386.67,0.0,1975,98023,47.3,-122.38,386.67,2133.33
98,98,20140711T000000,314000.0,3,1.75,603.33,13933.33,1.0,0,0,5,7,403.33,200.0,1980,98038,47.41,-121.96,550.0,45012.0
99,99,20140516T000000,437500.0,3,2.5,773.33,12282.33,2.0,0,2,3,9,773.33,0.0,1992,98045,47.48,-121.71,850.0,11688.33
100,100,20140611T000000,850830.0,3,2.5,690.0,4413.67,1.5,0,0,5,9,423.33,266.67,1910,98102,47.64,-122.32,733.33,1500.0
101,101,20141027T000000,555000.0,3,2.0,660.0,1159.33,1.5,0,0,4,7,480.0,180.0,1929,98117,47.68,-122.37,536.67,1159.33
102,102,20141212T000000,699950.0,3,2.25,730.0,35864.33,2.0,0,0,4,8,730.0,0.0,1983,98077,47.77,-122.08,856.67,15925.67
103,103,20141007T000000,1088000.0,3,2.5,973.33,2704.33,2.0,0,0,3,8,973.33,0.0,2010,98004,47.58,-122.2,790.0,2704.33
104,104,20140924T000000,290000.0,3,1.0,403.33,11306.33,1.0,0,0,3,7,403.33,0.0,1954,98058,47.44,-122.18,546.67,4970.0
105,105,20150402T000000,375000.0,3,2.5,780.0,3335.0,1.0,0,0,4,8,486.67,293.33,1978,98058,47.44,-122.13,750.0,2720.67
106,106,20140523T000000,460000.0,3,1.0,556.67,1335.0,1.5,0,0,4,7,390.0,166.67,1939,98117,47.69,-122.38,413.33,1335.0
107,107,20140723T000000,188500.0,2,1.75,413.33,831.0,1.0,0,0,4,8,413.33,0.0,1985,98198,47.38,-122.32,423.33,1655.33
108,108,20150305T000000,680000.0,4,2.5,1046.67,9345.67,2.0,0,0,4,10,1046.67,0.0,1991,98077,47.73,-122.08,996.67,11667.0
109,109,20140827T000000,470000.0,5,1.75,676.67,4114.0,2.0,0,0,4,7,676.67,0.0,1942,98052,47.64,-122.11,833.33,3144.33
110,110,20140725T000000,597750.0,4,2.5,770.0,3208.0,2.0,0,0,3,8,770.0,0.0,1984,98027,47.54,-122.05,646.67,3212.0
111,111,20150304T000000,570000.0,3,1.75,420.0,1109.33,1.0,0,0,5,6,233.33,186.67,1905,98103,47.68,-122.35,460.0,1178.67
112,112,20140916T000000,272500.0,3,1.75,513.33,4200.0,1.0,0,0,4,7,386.67,126.67,1980,98038,47.36,-122.03,513.33,3885.33
113,113,20141124T000000,329950.0,3,1.75,693.33,1989.67,1.0,0,2,3,7,360.0,333.33,1971,98108,47.55,-122.3,696.67,1833.33
114,114,20141028T000000,480000.0,4,2.5,1076.67,5390.33,2.0,0,3,3,9,840.0,236.67,2001,98001,47.32,-122.25,880.0,2839.0
115,115,20141121T000000,740500.0,3,3.5,1460.0,2116.67,2.0,0,0,3,8,926.67,533.33,1999,98117,47.7,-122.37,610.0,2116.67
116,116,20140626T000000,518500.0,3,3.5,530.0,367.33,3.0,0,0,3,8,530.0,0.0,2010,98103,47.68,-122.35,540.0,1055.33
117,117,20140623T000000,205425.0,2,1.0,293.33,2260.0,1.0,0,0,4,6,293.33,0.0,1945,98178,47.5,-122.25,396.67,2260.0
118,118,20150108T000000,171800.0,4,2.0,523.33,3200.0,1.0,0,0,3,6,523.33,0.0,1950,98168,47.5,-122.3,626.67,3000.0
119,119,20150511T000000,535000.0,4,1.0,536.67,994.0,1.5,0,0,4,7,536.67,0.0,1925,98144,47.59,-122.29,536.67,1346.67
120,120,20150102T000000,660000.0,3,2.5,800.0,2158.0,1.0,0,2,3,8,520.0,280.0,1964,98177,47.77,-122.39,780.0,3618.67
121,121,20141119T000000,391500.0,3,2.0,483.33,3044.0,1.0,0,0,3,7,483.33,0.0,1987,98034,47.73,-122.23,526.67,3034.67
122,122,20150406T000000,395000.0,2,1.0,256.67,2000.0,1.0,0,0,3,6,256.67,0.0,1953,98117,47.7,-122.36,570.0,2000.0
123,123,20141104T000000,445000.0,4,1.75,700.0,1466.67,1.5,0,0,5,7,573.33,126.67,1924,98118,47.53,-122.27,616.67,1466.67
124,124,20140618T000000,770000.0,3,2.25,970.0,3401.33,2.0,0,0,3,9,970.0,0.0,1990,98052,47.69,-122.1,900.0,4664.0
125,125,20150302T000000,1450000.0,4,2.75,916.67,5929.67,1.5,0,0,3,8,660.0,256.67,1992,98004,47.61,-122.21,1020.0,3758.33
126,126,20140717T000000,445000.0,3,2.25,700.0,2733.67,1.0,0,2,3,8,540.0,160.0,1967,98178,47.51,-122.24,886.67,2904.0
127,127,20140717T000000,260000.0,4,2.25,720.0,2937.0,1.0,0,0,3,8,453.33,266.67,1978,98023,47.31,-122.39,696.67,2800.0
128,128,20140613T000000,822500.0,5,3.5,773.33,1653.33,2.0,0,0,5,7,573.33,200.0,1926,98103,47.68,-122.35,566.67,1653.33
129,129,20150406T000000,430000.0,4,2.5,690.0,1436.67,2.0,0,0,3,7,690.0,0.0,2004,98065,47.53,-121.85,656.67,1249.33
130,130,20150105T000000,212000.0,3,1.75,353.33,2625.0,1.0,0,0,4,7,353.33,0.0,1986,98092,47.28,-122.15,473.33,2560.0
131,131,20150428T000000,660500.0,4,2.25,670.0,3201.0,1.0,0,0,3,8,480.0,190.0,1986,98027,47.53,-122.05,686.67,3264.33
132,132,20140612T000000,784000.0,3,3.5,1316.67,37026.0,1.5,0,0,3,9,820.0,496.67,1989,98052,47.7,-122.07,826.67,29500.0
133,133,20140512T000000,453246.0,3,2.5,670.0,762.33,2.0,0,0,3,8,463.33,206.67,2014,98029,47.55,-122.0,563.33,554.0
134,134,20150126T000000,675000.0,4,3.5,713.33,759.33,3.0,0,0,3,9,713.33,0.0,2005,98107,47.67,-122.38,513.33,761.67
135,135,20140813T000000,199000.0,3,1.75,440.0,5796.67,1.0,0,0,4,7,440.0,0.0,1956,98003,47.33,-122.3,516.67,6421.67
136,136,20140805T000000,220000.0,4,1.75,673.33,2613.33,1.0,0,0,3,7,336.67,336.67,1968,98003,47.33,-122.3,583.33,2713.33
137,137,20140529T000000,452000.0,4,2.25,863.33,3334.0,1.0,0,0,4,8,446.67,416.67,1968,98028,47.77,-122.27,516.67,3478.67
138,138,20140707T000000,382500.0,2,1.0,396.67,1480.0,1.0,0,0,3,6,396.67,0.0,1981,98125,47.71,-122.29,353.33,1905.0
139,139,20140507T000000,519950.0,3,2.25,390.0,416.33,3.0,0,0,3,8,390.0,0.0,2014,98107,47.67,-122.38,450.0,436.67
140,140,20140627T000000,665000.0,2,1.0,370.0,1066.67,1.0,0,0,3,7,370.0,0.0,1925,98119,47.63,-122.36,390.0,1200.0
141,141,20140708T000000,527700.0,5,2.5,940.0,3125.0,1.0,0,0,4,8,516.67,423.33,1968,98006,47.57,-122.13,940.0,3125.0
142,142,20150508T000000,205000.0,3,1.0,536.67,2859.67,1.0,0,0,4,7,336.67,200.0,1962,98058,47.46,-122.17,536.67,2859.67
143,143,20150415T000000,420000.0,3,1.0,353.33,2699.0,1.0,0,0,4,7,313.33,40.0,1923,98133,47.71,-122.35,520.0,2646.67
144,144,20150227T000000,500000.0,4,2.25,676.67,2839.0,1.0,0,0,4,8,460.0,216.67,1961,98006,47.55,-122.17,743.33,2941.33
145,145,20141203T000000,921500.0,4,2.5,1223.33,105124.67,2.0,0,0,4,9,1223.33,0.0,1994,98077,47.74,-122.03,946.67,29330.33
146,146,20140625T000000,890000.0,4,1.0,850.0,1333.33,2.0,0,0,3,8,790.0,60.0,1905,98109,47.64,-122.35,733.33,1333.33
147,147,20140806T000000,430000.0,2,2.5,806.67,20328.0,2.0,0,0,3,7,806.67,0.0,2007,98027,47.53,-121.94,646.67,64614.0
148,148,20141030T000000,258000.0,5,2.0,753.33,4166.67,1.0,0,0,4,8,376.67,376.67,1960,98032,47.39,-122.29,453.33,6000.0
149,149,20141104T000000,511000.0,3,1.0,476.67,1151.67,1.0,0,0,3,7,326.67,150.0,1947,98103,47.69,-122.34,483.33,1533.0
150,150,20140820T000000,532170.0,3,2.0,453.33,1030.0,2.0,0,0,3,8,453.33,0.0,1990,98103,47.68,-122.35,500.0,1030.0
151,151,20150409T000000,560000.0,3,1.0,370.0,1666.67,1.5,0,0,3,7,370.0,0.0,1947,98107,47.66,-122.36,473.33,1666.67
152,152,20150331T000000,282950.0,3,1.0,416.67,2733.33,1.0,0,0,4,7,416.67,0.0,1954,98003,47.33,-122.3,560.0,2877.67
153,153,20150401T000000,2250000.0,4,3.25,1726.67,6616.67,2.0,0,3,3,12,1180.0,546.67,2006,98006,47.56,-122.16,1053.33,3250.0
154,154,20140516T000000,350000.0,1,1.0,233.33,1700.0,1.0,0,0,3,7,233.33,0.0,1942,98115,47.68,-122.3,336.67,1700.0
155,155,20140728T000000,215000.0,3,1.0,393.33,2556.33,1.0,0,0,4,7,393.33,0.0,1967,98058,47.45,-122.18,396.67,2556.33
156,156,20141120T000000,650000.0,5,3.5,1320.0,8415.0,2.0,0,0,3,9,833.33,486.67,1996,98056,47.52,-122.17,880.0,4558.33
157,157,20140807T000000,320000.0,4,2.75,880.0,2500.0,1.0,0,0,3,8,540.0,340.0,1967,98023,47.31,-122.37,660.0,2625.0
158,158,20141113T000000,247000.0,3,2.0,423.33,2399.33,1.5,0,0,3,7,423.33,0.0,2013,98022,47.21,-122.0,386.67,2399.33
159,159,20141003T000000,320000.0,4,1.75,586.67,3726.67,1.0,0,0,4,8,586.67,0.0,1968,98059,47.47,-122.12,576.67,3726.67
160,160,20140507T000000,255000.0,5,2.25,686.67,2877.33,1.0,0,0,3,7,343.33,343.33,1962,98146,47.49,-122.34,336.67,3893.33
161,161,20150309T000000,438000.0,3,1.75,593.33,3220.0,1.0,0,0,3,7,593.33,0.0,1962,98034,47.72,-122.19,400.0,3220.0
162,162,20150304T000000,900000.0,3,2.5,1133.33,5534.33,2.0,0,0,3,10,1133.33,0.0,2000,98075,47.6,-122.02,1133.33,4200.33
163,163,20140620T000000,441000.0,3,2.75,636.67,2426.67,1.0,0,0,3,7,386.67,250.0,1979,98034,47.73,-122.22,570.0,2717.33
164,164,20140812T000000,420000.0,3,2.0,673.33,12777.33,1.0,0,0,4,7,336.67,336.67,1975,98027,47.46,-122.02,703.33,12196.67
165,165,20141208T000000,370000.0,3,1.75,526.67,2333.33,1.0,0,0,3,7,393.33,133.33,1976,98034,47.72,-122.17,546.67,2500.0
166,166,20150219T000000,269950.0,2,1.75,446.67,2416.67,1.0,0,0,5,5,233.33,213.33,1949,98198,47.41,-122.33,610.0,3250.0
167,167,20150324T000000,807100.0,4,2.5,893.33,1499.67,2.0,0,0,3,9,893.33,0.0,1999,98006,47.56,-122.12,973.33,1500.0
168,168,20140605T000000,653000.0,3,2.5,893.33,3250.0,1.0,0,0,4,8,536.67,356.67,1979,98034,47.7,-122.23,826.67,2916.67
169,169,20140611T000000,371500.0,3,2.0,456.67,2778.67,1.0,0,0,5,7,456.67,0.0,1964,98133,47.75,-122.33,590.0,2429.33
170,170,20150316T000000,284000.0,3,1.75,520.0,7000.0,1.0,0,0,3,7,520.0,0.0,1954,98166,47.48,-122.34,356.67,2640.0
171,171,20150102T000000,272000.0,3,1.75,720.0,2380.0,1.0,0,0,4,7,556.67,163.33,1978,98023,47.3,-122.37,643.33,2450.0
172,172,20140502T000000,313000.0,3,1.5,446.67,2637.33,1.5,0,0,3,7,446.67,0.0,1955,98133,47.77,-122.34,493.33,2646.67
173,173,20150116T000000,917500.0,4,2.5,1293.33,11667.67,2.0,0,0,3,10,856.67,436.67,1984,98033,47.65,-122.18,1246.67,11743.33
174,174,20140929T000000,673000.0,4,2.25,863.33,2730.0,2.0,0,0,4,8,863.33,0.0,1980,98006,47.56,-122.12,753.33,2778.33
175,175,20150210T000000,425000.0,3,2.5,373.33,366.67,2.0,0,0,3,8,273.33,100.0,2008,98122,47.61,-122.31,530.0,598.33
176,176,20140709T000000,399950.0,5,2.75,656.67,1800.0,1.0,0,0,3,7,440.0,216.67,1986,98144,47.59,-122.31,426.67,716.67
177,177,20140530T000000,385000.0,3,1.0,406.67,1600.0,1.0,0,0,3,6,406.67,0.0,1901,98122,47.61,-122.31,400.0,1600.0
178,178,20141117T000000,269950.0,3,1.5,650.0,2520.0,1.0,0,2,4,7,440.0,210.0,1975,98022,47.2,-122.0,650.0,2980.33
179,179,20150107T000000,330000.0,2,1.0,450.0,2740.0,1.0,0,0,3,7,353.33,96.67,1949,98177,47.72,-122.36,513.33,2760.0
180,180,20140725T000000,260000.0,3,2.5,556.67,1932.33,2.0,0,0,3,7,556.67,0.0,1988,98030,47.35,-122.18,556.67,2061.0
181,181,20150414T000000,470000.0,4,3.0,793.33,1708.33,1.5,0,0,4,7,560.0,233.33,1925,98126,47.54,-122.38,470.0,1791.67
182,182,20140613T000000,589000.0,4,3.0,813.33,3200.0,2.0,0,0,5,7,813.33,0.0,1961,98034,47.7,-122.2,763.33,3200.0
